Kind,Display Name,Connector
Scheduled,Full Admin policy created and then attached to Roles, Users or Groups,AWS
Scheduled,User Accessed Suspicious URL Categories,SymantecProxySG
MicrosoftSecurityIncidentCreation,Create incidents based on Azure Security Center for IoT alerts,IoT
Scheduled,Rare application consent,AzureActiveDirectory
Scheduled,(Preview) TI map IP entity to AzureActivity,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to AzureActivity,AzureActivity
MicrosoftSecurityIncidentCreation,Create incidents based on Office 365 Advanced Threat Protection alerts,OfficeATP
Scheduled,(Preview) TI map URL entity to PaloAlto data,PaloAltoNetworks
Scheduled,(Preview) TI map URL entity to PaloAlto data,ThreatIntelligence
Scheduled,SharePointFileOperation via devices with previously unseen user agents,Office365
Scheduled,Process execution frequency anomaly,SecurityEvents
Scheduled,Palo Alto - potential beaconing detected,PaloAltoNetworks
Scheduled,Excessive Failed Authentication from Invalid Inputs,SymantecVIP
Scheduled,RDP Nesting,SecurityEvents
Scheduled,SecurityEvent - Multiple authentication failures followed by a success,SecurityEvents
Scheduled,Changes to AWS Security Group ingress and egress settings,AWS
Scheduled,New High Severity Vulnerability Detected Across Multiple Hosts,QualysVulnerabilityManagement
Scheduled,Office policy tampering,Office365
Scheduled,Failed login attempts to Azure Portal,AzureActiveDirectory
Scheduled,Security Event log cleared,SecurityEvents
Scheduled,Anomalous sign-in location by user account and authenticating application,AzureActiveDirectory
Scheduled,(Preview) TI map Domain entity to PaloAlto,PaloAltoNetworks
Scheduled,(Preview) TI map Domain entity to PaloAlto,ThreatIntelligence
Scheduled,Brute force attack against Azure Portal,AzureActiveDirectory
Scheduled,ClientDeniedAccess,SymantecVIP
Scheduled,Group added to built in domain local or global group,SecurityEvents
Scheduled,Azure Key Vault access TimeSeries anomaly,WAF
Scheduled,High count of failed logons by a user,AzureMonitor(IIS)
Scheduled,Malware attachment delivered,ProofpointTAP
Scheduled,Monitor AWS Credential abuse or hijacking,AWS
Scheduled,Potential DHCP Starvation Attack,InfobloxNIOS
Scheduled,DNS events related to mining pools,DNS
Scheduled,(Preview) TI map Email entity to SigninLogs,ThreatIntelligence
Scheduled,(Preview) TI map Email entity to SigninLogs,AzureActiveDirectory
Scheduled,(Preview) TI map URL entity to SecurityAlert data,MicrosoftCloudAppSecurity
Scheduled,(Preview) TI map URL entity to SecurityAlert data,AzureSecurityCenter
Scheduled,(Preview) TI map URL entity to SecurityAlert data,ThreatIntelligence
Scheduled,SSH - Potential Brute Force,Syslog
Scheduled,Base64 encoded Windows process command-lines,SecurityEvents
Scheduled,(Preview) TI map File Hash to CommonSecurityLog Event,PaloAltoNetworks
Scheduled,(Preview) TI map File Hash to CommonSecurityLog Event,ThreatIntelligence
Scheduled,Suspicious application consent similar to O365 Attack Toolkit,AzureActiveDirectory
Scheduled,Known Malware Detected,VMwareCarbonBlack
Scheduled,Malformed user agent,WAF
Scheduled,Malformed user agent,Office365
Scheduled,Known Phosphorus group domains/IP,DNS
Scheduled,Known Phosphorus group domains/IP,AzureMonitor(VMInsights)
Scheduled,Known Phosphorus group domains/IP,CiscoASA
Scheduled,Known Phosphorus group domains/IP,PaloAltoNetworks
Scheduled,Known Phosphorus group domains/IP,Office365
Scheduled,Changes to AWS Elastic Load Balancer security groups,AWS
Scheduled,Attempt to bypass conditional access rule in Azure AD,AzureActiveDirectory
Scheduled,DNS events related to ToR proxies,DNS
Scheduled,(Preview) TI map Email entity to SecurityAlert,AzureSecurityCenter
Scheduled,(Preview) TI map Email entity to SecurityAlert,ThreatIntelligence
MLBehaviorAnalytics,(Preview) Anomalous SSH Login Detection,Syslog
Scheduled,Potential DGA detected,DNS
Scheduled,Cisco ASA - average attack detection rate increase,CiscoASA
Scheduled,Mail redirect via ExO transport rule,Office365
Scheduled,Known IRIDIUM IP,Office365
Scheduled,Known IRIDIUM IP,DNS
Scheduled,Known IRIDIUM IP,AzureMonitor(VMInsights)
Scheduled,Known IRIDIUM IP,CiscoASA
Scheduled,Known IRIDIUM IP,PaloAltoNetworks
Scheduled,Known IRIDIUM IP,SecurityEvents
Scheduled,Known IRIDIUM IP,AzureActiveDirectory
Scheduled,Known IRIDIUM IP,AzureMonitor(WireData)
Scheduled,Known IRIDIUM IP,AzureMonitor(IIS)
Scheduled,Known IRIDIUM IP,AzureActivity
Scheduled,Known IRIDIUM IP,AWS
Scheduled,(Preview) TI map Email entity to CommonSecurityLog,PaloAltoNetworks
Scheduled,(Preview) TI map Email entity to CommonSecurityLog,ThreatIntelligence
Scheduled,Process executed from binary hidden in Base64 encoded file,SecurityEvents
MicrosoftSecurityIncidentCreation,Create incidents based on Azure Active Directory Identity Protection alerts,AzureActiveDirectoryIdentityProtection
Scheduled,Excessive Windows logon failures,SecurityEvents
Scheduled,Time series anomaly for data size transferred to public internet,CiscoASA
Scheduled,Time series anomaly for data size transferred to public internet,PaloAltoNetworks
Scheduled,Time series anomaly for data size transferred to public internet,AzureMonitor(VMInsights)
Scheduled,THALLIUM domains included in DCU takedown,DNS
Scheduled,THALLIUM domains included in DCU takedown,AzureMonitor(VMInsights)
Scheduled,THALLIUM domains included in DCU takedown,CiscoASA
Scheduled,THALLIUM domains included in DCU takedown,PaloAltoNetworks
Scheduled,Time series anomaly detection for total volume of traffic,Barracuda
Scheduled,Time series anomaly detection for total volume of traffic,CEF
Scheduled,Time series anomaly detection for total volume of traffic,CheckPoint
Scheduled,Time series anomaly detection for total volume of traffic,CiscoASA
Scheduled,Time series anomaly detection for total volume of traffic,F5
Scheduled,Time series anomaly detection for total volume of traffic,Fortinet
Scheduled,Time series anomaly detection for total volume of traffic,PaloAltoNetworks
Scheduled,Suspicious application consent for offline access,AzureActiveDirectory
Scheduled,Failed logon attempts within 10 mins,SecurityEvents
Scheduled,(Preview) TI map File Hash to Security Event,SecurityEvents
Scheduled,(Preview) TI map File Hash to Security Event,ThreatIntelligence
Scheduled,(Preview) TI map Domain entity to DnsEvent,DNS
Scheduled,(Preview) TI map Domain entity to DnsEvent,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to AWSCloudTrail,ThreatIntelligence
Scheduled,(Preview) TI map IP entity to AWSCloudTrail,AWS
Scheduled,Powershell Empire cmdlets seen in command line,SecurityEvents
Scheduled,Failed AzureAD logons but success logon to AWS Console,AzureActiveDirectory
Scheduled,Failed AzureAD logons but success logon to AWS Console,AWS
Scheduled,Multiple Password Reset by user,AzureActiveDirectory
Scheduled,Multiple Password Reset by user,SecurityEvents
Scheduled,Multiple Password Reset by user,Syslog
Scheduled,Multiple Password Reset by user,Office365
MicrosoftSecurityIncidentCreation,Create incidents based on Microsoft Defender Advanced Threat Protection alerts,MicrosoftDefenderAdvancedThreatProtection
Scheduled,High count of connections by client IP on many ports,AzureMonitor(IIS)
Scheduled,(Preview) TI map URL entity to AuditLogs,AzureActiveDirectory
Scheduled,(Preview) TI map URL entity to AuditLogs,ThreatIntelligence
Scheduled,Suspicious number of resource creation or deployment activities,AzureActivity
Scheduled,High Number of Urgent Vulnerabilities Detected,QualysVulnerabilityManagement
Scheduled,Suspicious application consent similar to PwnAuth,AzureActiveDirectory
Scheduled,User account enabled and disabled within 10 mins,SecurityEvents
Scheduled,Malware in the recycle bin,SecurityEvents
Scheduled,Multiple Failed VPN User Logins,PulseConnectSecure
Scheduled,Changes to Amazon VPC settings,AWS
Scheduled,Suspicious Resource deployment,AzureActivity
Scheduled,New executable via Office FileUploaded Operation,Office365
Scheduled,SharePointFileOperation via previously unseen IPs,Office365
Scheduled,Multiple users email forwarded to same destination,Office365
Scheduled,Port Scan Detected,SophosXGFirewall
Scheduled,User account created and deleted within 10 mins,SecurityEvents
Scheduled,Fortinet - Beacon pattern detected,Fortinet
Scheduled,Potential Password Spray Attack,OktaSSO
Scheduled,Distributed Password cracking attempts in AzureAD,AzureActiveDirectory
Scheduled,(Preview) TI map URL entity to OfficeActivity data,Office365
Scheduled,(Preview) TI map URL entity to OfficeActivity data,ThreatIntelligence
Scheduled,User account added to built in domain local or global group,SecurityEvents
Scheduled,(Preview) TI map Domain entity to SecurityAlert,ThreatIntelligence
Scheduled,(Preview) TI map Domain entity to SecurityAlert,MicrosoftCloudAppSecurity
Scheduled,(Preview) TI map Domain entity to SecurityAlert,AzureSecurityCenter
